Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2018-02-20,1323.3939208984375,1341.505081313091,1315.821353853756,1315.8663385314967,1889068
2018-02-21,1367.2337646484375,1376.3567675529391,1330.2699624798609,1336.5391811470765,3089228
2018-02-22,1370.78369140625,1383.7266583845721,1358.3351169104806,1371.5926474146522,3463010
2018-02-23,1382.2889404296875,1388.2211031936638,1344.6735184312815,1370.6941938299367,3362500
2018-02-26,1362.4697265625,1388.647733242082,1357.7509442425753,1381.9291079779314,1363882
2018-02-27,1367.2559814453125,1383.5245232564287,1362.604566429022,1366.64923697581,1717800
2018-02-28,1363.9754638671875,1376.9633082423577,1357.8634725619747,1363.9529715285244,2706864
2018-03-01,1365.1661376953125,1375.727221657362,1357.211641080404,1370.2444680974013,1718124
2018-03-05,1395.793701171875,1399.2989953460526,1363.0317963541945,1370.2448157702647,2858168
2018-03-06,1367.4586181640625,1405.2987479889973,1361.7735414079482,1403.0517080977452,1906764
2018-03-07,1360.5595703125,1388.2206412920193,1356.5373925995339,1379.6818934174487,1917772
2018-03-08,1349.998779296875,1372.896088841075,1342.6060416139915,1372.896088841075,1951826
2018-03-09,1363.548095703125,1376.6257953733243,1337.9767289430333,1350.4702863142372,1872436
2018-03-12,1371.66064453125,1385.9293491680783,1364.1780448847933,1367.5486050352251,2091340
2018-03-13,1297.3509521484375,1321.1245899180792,1290.69969223634,1314.4733300059818,88067154
2018-03-14,1297.3956298828125,1313.6417913899625,1292.0702120692465,1300.114569636773,3668668
2018-03-15,1289.6661376953125,1304.4292346350987,1283.329550618277,1301.0361822333648,2348906
2018-03-16,1269.8919677734375,1290.6995769075813,1260.5892455521468,1289.261493473158,7197482
2018-03-19,1272.2734375,1279.913369833981,1267.32995187213,1271.3746219312964,3489940
2018-03-20,1287.486328125,1291.2388184392432,1266.8809310314796,1267.330338953094,4024984
2018-03-21,1283.845703125,1296.2269096740058,1280.8122005447624,1290.923875812221,3907678
2018-03-22,1272.43115234375,1292.4746796525862,1268.476340722142,1285.284152965564,2326094
2018-03-23,1266.4989013671875,1273.6670455539368,1257.4658678958276,1259.241007257816,3654122
2018-03-26,1265.9820556640625,1270.6558539416083,1250.050567535642,1266.8808714650309,2964210
2018-03-27,1279.77880859375,1286.654771158776,1268.7009481469518,1269.5772715765079,2494574
2018-03-28,1280.43017578125,1292.0474111744202,1269.577021414865,1274.475522494968,6865654
2018-04-02,1307.61962890625,1309.5745971236943,1276.3184131198666,1276.3184131198666,1662988
2018-04-03,1308.3387451171875,1316.7201585406242,1299.7326277443963,1299.7326277443963,1937290
2018-04-04,1308.181396484375,1318.5627627369718,1299.68763116405,1316.517934872827,2841820
2018-04-05,1329.326171875,1331.9327598270122,1312.4284994457607,1315.2148066832633,1809424
2018-04-06,1325.88818359375,1330.2474183927102,1315.2147456927948,1327.5509709229952,1129018
2018-04-09,1314.023681640625,1331.8202779173591,1310.0239953194202,1321.124348224523,1235866
2018-04-10,1320.1806640625,1329.0114852303072,1314.8326443300941,1314.8326443300941,1184532
2018-04-11,1354.58251953125,1359.458638203694,1323.775701637168,1326.022740708579,3124416
2018-04-12,1410.8038330078125,1415.6349682168063,1351.7965503253783,1352.7178585182817,6114360
2018-04-13,1417.1177978515625,1456.4409847960126,1407.5903733584785,1415.6347300002005,8179118
2018-04-16,1432.5550537109375,1438.0827928446065,1397.9956299638636,1400.3550214473678,6270274
2018-04-17,1423.09521484375,1435.8358640054387,1414.376635049094,1432.5551641270044,3301724
2018-04-18,1419.7247314453125,1435.1618290522663,1413.7700759706074,1422.8256024842667,2433066
2018-04-19,1434.1280517578125,1445.8351501133727,1422.7131343838819,1429.0722126164342,4820952
2018-04-20,1529.087890625,1538.0311736850317,1456.0815990603048,1460.5756780697502,18465662
2018-04-23,1531.8743896484375,1598.9485272704399,1523.290763495894,1538.7728456799719,15185910
2018-04-24,1521.53759765625,1547.3785482532594,1502.1456934000653,1532.4807223617718,8314336
2018-04-25,1559.557373046875,1565.287322331897,1512.2796957918447,1521.245359199963,8196574
2018-04-26,1590.5667724609375,1599.8919855791305,1558.0970544951813,1558.0970544951813,12135034
2018-04-27,1551.3336181640625,1592.7016383615266,1536.9750573353333,1584.162888042997,4501330
2018-04-30,1587.3536376953125,1594.9485870796314,1544.8845924772158,1551.3335298087304,3458558
2018-05-02,1572.8150634765625,1587.3983257130662,1560.0294325719842,1586.6343543407397,3158046
2018-05-03,1564.7708740234375,1584.612188077992,1559.6250660120759,1577.3318023510433,3761550
2018-05-04,1564.276611328125,1571.5794899991247,1559.4454762073099,1569.3324504080479,2347244
2018-05-07,1537.4014892578125,1568.4331177285296,1532.8849192243397,1568.4331177285296,3484426
2018-05-08,1546.502197265625,1566.860393837457,1526.5035489002826,1543.5810463807998,2992820
2018-05-09,1568.11865234375,1570.5679029004198,1546.052685562669,1546.052685562669,2615050
2018-05-10,1551.018798828125,1577.9382844009247,1546.0528202811086,1574.2531620779835,3858678
2018-05-11,1553.58056640625,1566.1864795266724,1547.0866444104934,1552.344694722262,2627876
2018-05-14,1543.0643310546875,1559.8946329379476,1532.8403025616485,1553.6029230960776,2433894
2018-05-15,1565.0179443359375,1571.0400757088055,1543.13180270672,1550.4571730332007,1952890
2018-05-16,1570.1859130859375,1576.972014945971,1561.8045012655987,1563.9166960417913,1648450
2018-05-17,1569.242431640625,1587.825381343206,1562.1417653091125,1578.7473642595494,2968048
2018-05-18,1573.8492431640625,1580.8824341852887,1554.052799640166,1564.2993235595648,1874996
2018-05-21,1598.4315185546875,1614.273146734642,1581.0394550923547,1585.8256052507238,3446178
2018-05-22,1576.9271240234375,1606.6105337640722,1570.096146807259,1598.9930928288238,1857416
2018-05-23,1570.7254638671875,1593.1508723149666,1564.3887691194354,1584.1627150663633,1507298
2018-05-24,1619.5316162109375,1624.6099486442258,1573.9841804391203,1577.422107812236,2962316
2018-05-25,1611.4866943359375,1651.4839930817977,1605.5320403091662,1629.1034601544163,3769772
2018-05-28,1573.8492431640625,1625.2839646901853,1566.636223119034,1625.2839646901853,3716798
2018-05-29,1583.4886474609375,1592.7015088978467,1567.5346678994608,1586.3648139732652,3525312
2018-05-30,1579.26416015625,1587.7579245831214,1565.062828293439,1576.9946285835392,3779106
2018-05-31,1577.9044189453125,1594.2177234135745,1564.3552469107224,1571.5149971092394,5049371
2018-06-01,1570.1104736328125,1592.8132039503305,1555.473900264031,1589.641171965223,1603856
2018-06-04,1580.8050537109375,1585.1099549608311,1552.1207948353035,1581.4847749609207,1681483
2018-06-05,1560.2772216796875,1587.738000416174,1550.8064845674892,1580.5782488369605,2449568
2018-06-06,1564.0386962890625,1572.331318195818,1554.477239174807,1561.5463848796494,2236512
2018-06-07,1572.920166015625,1585.1097882304684,1562.2712008860035,1563.358710518901,2414762
2018-06-08,1583.3878173828125,1592.6320918569595,1572.4216710825829,1572.4216710825829,2582138
2018-06-11,1585.743896484375,1597.797661038702,1579.671765848246,1583.3875522359526,2179378
2018-06-12,1614.111328125,1617.7365079748033,1588.7350691763756,1592.360249026179,4608875
2018-06-13,1653.1724853515625,1660.0150560180675,1629.5182108685208,1645.831518874991,5370983
2018-06-14,1620.04736328125,1660.6040568151532,1616.8299723906878,1658.5195344590577,3819998
2018-06-15,1667.6282958984375,1674.0176097939084,1620.9993479416348,1631.3311339161148,9183574
2018-06-18,1657.61328125,1692.9134214175992,1651.405183651592,1692.9134214175992,4674987
2018-06-19,1653.5345458984375,1666.675817981489,1650.3625147059768,1651.4047756526904,3245034
2018-06-20,1651.67724609375,1664.2295201028633,1648.1880325385462,1660.3324074266336,3107695
2018-06-21,1648.8673095703125,1660.3319601331577,1647.2812937787005,1660.3319601331577,2910659
2018-06-22,1640.21240234375,1655.8006289271693,1630.922880479216,1655.8006289271693,2949458
2018-06-25,1648.7769775390625,1651.5864695698592,1636.7685702545264,1642.1157322283202,2083217
2018-06-26,1678.45751953125,1686.614170544091,1650.3623882647983,1652.1749773787628,4679712
2018-06-27,1683.8958740234375,1708.5018019515728,1677.7783836307258,1685.708463769426,4081208
2018-06-28,1670.02978515625,1695.6779784143487,1655.166635368734,1690.240208307194,4888125
2018-06-29,1674.6064453125,1692.4151626900334,1669.6671822308817,1672.0235269062252,3506276
2018-07-02,1677.868896484375,1683.7145644649454,1668.579374559423,1678.4580102449786,2650290
2018-07-03,1698.442138671875,1703.743942138421,1683.035124128439,1685.663291045186,3242233
2018-07-04,1691.2823486328125,1703.7439042363085,1683.1256940559788,1703.7439042363085,2700614
2018-07-05,1704.1063232421875,1710.6316021872549,1687.6116898910836,1697.4903263029023,2472571
